componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (15 g),Porção Média (45 g),codigo_alimento,nome_alimento
Energia,kJ,1436,215,646,BRC0007J,Nome não encontrado
Energia,kcal,347,52,156,BRC0007J,Nome não encontrado
Umidade,g,"50,0","7,50","22,5",BRC0007J,Nome não encontrado
Carboidrato total,g,"1,56","0,23","0,70",BRC0007J,Nome não encontrado
Carboidrato disponível,g,"1,56","0,23","0,70",BRC0007J,Nome não encontrado
Proteína,g,"15,9","2,39","7,16",BRC0007J,Nome não encontrado
Lipídios,g,"30,8","4,62","13,8",BRC0007J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0007J,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0007J,Nome não encontrado
Cinzas,g,"1,74","0,26","0,78",BRC0007J,Nome não encontrado
Colesterol,mg,1272,190,572,BRC0007J,Nome não encontrado
Ácidos graxos saturados,g,"9,20","1,38","4,14",BRC0007J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"12,1","1,82","5,45",BRC0007J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,00","0,60","1,80",BRC0007J,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,01","0,04",BRC0007J,Nome não encontrado
Cálcio,mg,114,"17,2","51,5",BRC0007J,Nome não encontrado
Ferro,mg,"2,92","0,44","1,32",BRC0007J,Nome não encontrado
Sódio,mg,"44,9","6,74","20,2",BRC0007J,Nome não encontrado
Magnésio,mg,"9,37","1,41","4,22",BRC0007J,Nome não encontrado
Fósforo,mg,385,"57,9",173,BRC0007J,Nome não encontrado
Potássio,mg,"87,4","13,1","39,3",BRC0007J,Nome não encontrado
Manganês,mg,"0,06","0,01","0,03",BRC0007J,Nome não encontrado
Zinco,mg,"2,87","0,43","1,29",BRC0007J,Nome não encontrado
Cobre,mg,traços,traços,traços,BRC0007J,Nome não encontrado
Selênio,mcg,"34,0","5,10","15,3",BRC0007J,Nome não encontrado
Vitamina A (RE),mcg,467,"70,1",210,BRC0007J,Nome não encontrado
Vitamina A (RAE),mcg,463,"69,6",208,BRC0007J,Nome não encontrado
Vitamina D,mcg,"6,26","0,94","2,82",BRC0007J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"14,1","2,11","6,32",BRC0007J,Nome não encontrado
Tiamina,mg,"0,18","0,03","0,08",BRC0007J,Nome não encontrado
Riboflavina,mg,"0,22","0,03","0,10",BRC0007J,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0007J,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0007J,Nome não encontrado
Vitamina B12,mcg,"1,95","0,29","0,88",BRC0007J,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0007J,Nome não encontrado
Equivalente de folato,mcg,146,"21,9","65,7",BRC0007J,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0007J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0007J,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0007J,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0007J,Nome não encontrado
Proteína animal,g,"15,9","2,39","7,16",BRC0007J,Nome não encontrado
