componente,unidade,Valor por 100g,Colher servir cheia (70 g),Colher servir rasa (30 g),Colher sopa rasa (20 g),Escumadeira cheia (100 g),Escumadeira rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,781,546,234,156,780,468,BRC0111B,Nome não encontrado
Energia,kcal,184,129,55,36,184,110,BRC0111B,Nome não encontrado
Umidade,g,"55,0","38,5","16,5","11,0","55,0","33,0",BRC0111B,Nome não encontrado
Carboidrato total,g,"36,8","25,7","11,0","7,36","36,8","22,1",BRC0111B,Nome não encontrado
Carboidrato disponível,g,"35,0","24,5","10,5","7,00","35,0","21,0",BRC0111B,Nome não encontrado
Proteína,g,"5,86","4,10","1,76","1,17","5,86","3,51",BRC0111B,Nome não encontrado
Lipídios,g,"1,94","1,36","0,58","0,39","1,94","1,17",BRC0111B,Nome não encontrado
Fibra alimentar,g,"1,78","1,25","0,53","0,36","1,78","1,07",BRC0111B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0111B,Nome não encontrado
Cinzas,g,"0,46","0,32","0,14","0,09","0,46","0,28",BRC0111B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0111B,Nome não encontrado
Ácidos graxos saturados,g,"0,56","0,39","0,17","0,11","0,56","0,34",BRC0111B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,48","0,33","0,14","0,10","0,48","0,29",BRC0111B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,78","0,54","0,23","0,16","0,78","0,47",BRC0111B,Nome não encontrado
Ácidos graxos trans,g,,,,,,,BRC0111B,Nome não encontrado
Cálcio,mg,"11,4","7,99","3,43","2,28","11,4","6,85",BRC0111B,Nome não encontrado
Ferro,mg,"1,65","1,16","0,50","0,33","1,65","0,99",BRC0111B,Nome não encontrado
Sódio,mg,"7,07","4,95","2,12","1,41","7,07","4,24",BRC0111B,Nome não encontrado
Magnésio,mg,"17,9","12,5","5,37","3,58","17,9","10,7",BRC0111B,Nome não encontrado
Fósforo,mg,"68,4","47,9","20,5","13,7","68,4","41,0",BRC0111B,Nome não encontrado
Potássio,mg,163,114,"49,1","32,7",163,"98,2",BRC0111B,Nome não encontrado
Manganês,mg,"0,30","0,21","0,09","0,06","0,30","0,18",BRC0111B,Nome não encontrado
Zinco,mg,"0,48","0,34","0,14","0,10","0,48","0,29",BRC0111B,Nome não encontrado
Cobre,mg,"0,10","0,07","0,03","0,02","0,10","0,06",BRC0111B,Nome não encontrado
Selênio,mcg,"1,41","0,99","0,42","0,28","1,41","0,85",BRC0111B,Nome não encontrado
Vitamina A (RE),mcg,"15,5","10,8","4,65","3,10","15,5","9,29",BRC0111B,Nome não encontrado
Vitamina A (RAE),mcg,"15,5","10,8","4,64","3,10","15,5","9,29",BRC0111B,Nome não encontrado
Vitamina D,mcg,"0,03","0,02","0,01","0,01","0,03","0,02",BRC0111B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,13","0,09","0,04","0,03","0,13","0,08",BRC0111B,Nome não encontrado
Tiamina,mg,"0,08","0,05","0,02","0,02","0,08","0,05",BRC0111B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0111B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0111B,Nome não encontrado
Vitamina B6,mg,"0,04","0,03","0,01","0,01","0,04","0,02",BRC0111B,Nome não encontrado
Vitamina B12,mcg,"0,01","0,01","0,00","0,00","0,01","0,01",BRC0111B,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,traços,BRC0111B,Nome não encontrado
Equivalente de folato,mcg,"56,5","39,5","16,9","11,3","56,5","33,9",BRC0111B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0111B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0111B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0111B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0111B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0111B,Nome não encontrado
