componente,unidade,Valor por 100g,Colher sopa cheia (45 g),Copo americano duplo (200 mL),Copo americano pequeno (130 mL),Pedaço/ Unidade/ Fatia (M) (370 g),Prato fundo (450 g),Prato raso (350 g),codigo_alimento,nome_alimento
Energia,kJ,312,140,624,405,1155,1405,1093,BRC0001C,Nome não encontrado
Energia,kcal,76,34,151,98,280,341,265,BRC0001C,Nome não encontrado
Umidade,g,"86,3","38,8",172,112,319,388,302,BRC0001C,Nome não encontrado
Carboidrato total,g,"5,84","2,63","11,7","7,59","21,6","26,3","20,4",BRC0001C,Nome não encontrado
Carboidrato disponível,g,"1,81","0,82","3,63","2,36","6,71","8,16","6,35",BRC0001C,Nome não encontrado
Proteína,g,"1,15","0,52","2,30","1,50","4,26","5,18","4,03",BRC0001C,Nome não encontrado
Lipídios,g,"6,21","2,79","12,4","8,07","23,0","27,9","21,7",BRC0001C,Nome não encontrado
Fibra alimentar,g,"4,03","1,81","8,05","5,24","14,9","18,1","14,1",BRC0001C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0001C,Nome não encontrado
Cinzas,g,"0,47","0,21","0,95","0,61","1,75","2,13","1,66",BRC0001C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0001C,Nome não encontrado
Ácidos graxos saturados,g,"1,70","0,77","3,40","2,21","6,29","7,65","5,95",BRC0001C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,18","1,43","6,36","4,13","11,8","14,3","11,1",BRC0001C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,04","0,47","2,08","1,35","3,85","4,68","3,64",BRC0001C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0001C,Nome não encontrado
Cálcio,mg,"7,16","3,22","14,3","9,31","26,5","32,2","25,1",BRC0001C,Nome não encontrado
Ferro,mg,"0,18","0,08","0,35","0,23","0,65","0,79","0,61",BRC0001C,Nome não encontrado
Sódio,mg,traços,traços,,traços,traços,traços,traços,BRC0001C,Nome não encontrado
Magnésio,mg,"17,0","7,65","34,0","22,1","62,9","76,5","59,5",BRC0001C,Nome não encontrado
Fósforo,mg,"18,5","8,34","37,1","24,1","68,6","83,4","64,9",BRC0001C,Nome não encontrado
Potássio,mg,174,"78,4",348,226,644,783,609,BRC0001C,Nome não encontrado
Manganês,mg,"0,15","0,07","0,29","0,19","0,54","0,66","0,51",BRC0001C,Nome não encontrado
Zinco,mg,"0,23","0,10","0,47","0,30","0,86","1,05","0,82",BRC0001C,Nome não encontrado
Cobre,mg,"0,12","0,06","0,25","0,16","0,46","0,55","0,43",BRC0001C,Nome não encontrado
Selênio,mcg,"0,20","0,09","0,40","0,26","0,74","0,90","0,70",BRC0001C,Nome não encontrado
Vitamina A (RE),mcg,"6,21","2,79","12,4","8,07","23,0","27,9","21,7",BRC0001C,Nome não encontrado
Vitamina A (RAE),mcg,"3,11","1,40","6,21","4,04","11,5","14,0","10,9",BRC0001C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0001C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,01","0,04","0,03","0,07","0,09","0,07",BRC0001C,Nome não encontrado
Tiamina,mg,traços,traços,,traços,traços,traços,traços,BRC0001C,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,07","0,05","0,13","0,16","0,13",BRC0001C,Nome não encontrado
Niacina,mg,traços,traços,,traços,traços,traços,traços,BRC0001C,Nome não encontrado
Vitamina B6,mg,traços,traços,,traços,traços,traços,traços,BRC0001C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0001C,Nome não encontrado
Vitamina C,mg,"7,32","3,29","14,6","9,51","27,1","32,9","25,6",BRC0001C,Nome não encontrado
Equivalente de folato,mcg,"41,5","18,7","82,9","53,9",153,186,145,BRC0001C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0001C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0001C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0001C,Nome não encontrado
Proteína vegetal,g,"1,15","0,52","2,30","1,50","4,26","5,18","4,03",BRC0001C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0001C,Nome não encontrado
