componente,unidade,Valor por 100g,Colher sobremesa rasa (4 g),Colher sopa cheia (15 g),Colher sopa rasa (7 g),codigo_alimento,nome_alimento
Energia,kJ,1859,74,278,130,BRC0060G,Nome não encontrado
Energia,kcal,448,17,67,31,BRC0060G,Nome não encontrado
Umidade,g,"24,4","0,98","3,66","1,71",BRC0060G,Nome não encontrado
Carboidrato total,g,"2,48","0,10","0,37","0,17",BRC0060G,Nome não encontrado
Carboidrato disponível,g,"0,11","0,00","0,02","0,01",BRC0060G,Nome não encontrado
Proteína,g,"31,9","1,28","4,79","2,23",BRC0060G,Nome não encontrado
Lipídios,g,"35,0","1,40","5,25","2,45",BRC0060G,Nome não encontrado
Fibra alimentar,g,"2,38","0,10","0,36","0,17",BRC0060G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0060G,Nome não encontrado
Cinzas,g,"6,16","0,25","0,92","0,43",BRC0060G,Nome não encontrado
Colesterol,mg,110,"4,42","16,6","7,74",BRC0060G,Nome não encontrado
Ácidos graxos saturados,g,"20,6","0,82","3,09","1,44",BRC0060G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"9,09","0,36","1,36","0,64",BRC0060G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,42","0,02","0,06","0,03",BRC0060G,Nome não encontrado
Ácidos graxos trans,g,"1,22","0,05","0,18","0,09",BRC0060G,Nome não encontrado
Cálcio,mg,1020,"40,8",153,"71,5",BRC0060G,Nome não encontrado
Ferro,mg,"1,12","0,04","0,17","0,08",BRC0060G,Nome não encontrado
Sódio,mg,1662,"66,5",249,116,BRC0060G,Nome não encontrado
Magnésio,mg,"33,4","1,33","5,01","2,34",BRC0060G,Nome não encontrado
Fósforo,mg,744,"29,8",111,"52,1",BRC0060G,Nome não encontrado
Potássio,mg,"96,2","3,85","14,4","6,74",BRC0060G,Nome não encontrado
Manganês,mg,"0,05","0,00","0,01","0,00",BRC0060G,Nome não encontrado
Zinco,mg,"4,36","0,17","0,65","0,31",BRC0060G,Nome não encontrado
Cobre,mg,"0,17","0,01","0,03","0,01",BRC0060G,Nome não encontrado
Selênio,mcg,"24,0","0,96","3,60","1,68",BRC0060G,Nome não encontrado
Vitamina A (RE),mcg,"84,0","3,36","12,6","5,88",BRC0060G,Nome não encontrado
Vitamina A (RAE),mcg,"76,6","3,06","11,5","5,36",BRC0060G,Nome não encontrado
Vitamina D,mcg,"0,68","0,03","0,10","0,05",BRC0060G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30","0,01","0,04","0,02",BRC0060G,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,BRC0060G,Nome não encontrado
Riboflavina,mg,"0,42","0,02","0,06","0,03",BRC0060G,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0060G,Nome não encontrado
Vitamina B6,mg,"0,22","0,01","0,03","0,02",BRC0060G,Nome não encontrado
Vitamina B12,mcg,"1,28","0,05","0,19","0,09",BRC0060G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,BRC0060G,Nome não encontrado
Equivalente de folato,mcg,"7,47","0,30","1,12","0,52",BRC0060G,Nome não encontrado
Sal de adição,g,,,,,BRC0060G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0060G,Nome não encontrado
Gordura de adição,g,,,,,BRC0060G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00",BRC0060G,Nome não encontrado
Proteína animal,g,"31,9","1,28","4,79","2,23",BRC0060G,Nome não encontrado
